[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'request_vote', 'term': 1, 'last_log_index': 1, 'last_log_term': 0}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 1, 'entries': [(b'\x01', 2, 1)], 'prevLogIdx': 1, 'prevLogTerm': 0}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.12:45025,10.166.0.11:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [(b'\x01', 2, 1)], 'prevLogIdx': 1, 'prevLogTerm': 0}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.12:45025,10.166.0.11:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.12:45025,10.166.0.11:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.12:45025,10.166.0.11:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.11:45025,10.166.0.12:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
[2026-09-16T12:27:01] as166h-node001-10.166.0.10     | [PAYLOAD] pre-sign structure: identity=(10.166.0.10:45025,10.166.0.12:45025,10.166.0.11:45025) || data={'type': 'append_entries', 'term': 1, 'commit_index': 2, 'entries': [], 'prevLogIdx': 2, 'prevLogTerm': 1}
